medicine_name,used_for
Calcium 20,हड्डियों और दाँतों की मजबूती के लिए
Multivitamin 20,शारीरिक कमजोरी और थकान में उपयोगी
Salbutamol 20,दमा और सांस की तकलीफ में राहत
Betadine 20,घावों को साफ़ करने के लिए
Domperidone 20,उल्टी और मतली में राहत के लिए
Diclofenac 20,दर्द और सूजन में उपयोगी
Paracetamol 21,बुखार और हल्के दर्द में उपयोगी
Amoxicillin 21,जीवाणु संक्रमण के इलाज में उपयोगी
Ibuprofen 21,सूजन और दर्द में राहत के लिए
Ciprofloxacin 21,संक्रमण के इलाज में उपयोगी
Metronidazole 21,दस्त और संक्रमण में उपयोगी
Azithromycin 21,गले और छाती के संक्रमण के लिए
Levocetirizine 21,एलर्जी और छींक में राहत के लिए
Cetirizine 21,एलर्जी और खुजली में उपयोगी
Pantoprazole 21,एसिडिटी और पेट दर्द में उपयोगी
Ranitidine 21,पेट की गैस और जलन में राहत
Omeprazole 21,अम्लता में राहत के लिए
Dolo 21,बुखार और दर्द में उपयोगी
Calpol 21,बच्चों के बुखार और दर्द के लिए
ORS 21,डिहाइड्रेशन में पानी की कमी को पूरा करता है
Zinc Tablet 21,दस्त में उपयोगी और रोग प्रतिरोधक शक्ति बढ़ाता है
Iron Folic Acid 21,रक्ताल्पता (एनीमिया) में उपयोगी
Albendazole 21,पेट के कीड़ों के इलाज के लिए
Chlorpheniramine 21,"सर्दी, खांसी और एलर्जी के लिए"
Vitamin D 21,हड्डियों की मजबूती के लिए
Calcium 21,हड्डियों और दाँतों की मजबूती के लिए
Multivitamin 21,शारीरिक कमजोरी और थकान में उपयोगी
Salbutamol 21,दमा और सांस की तकलीफ में राहत
Betadine 21,घावों को साफ़ करने के लिए
Domperidone 21,उल्टी और मतली में राहत के लिए
Diclofenac 21,दर्द और सूजन में उपयोगी
Paracetamol 22,बुखार और हल्के दर्द में उपयोगी
Amoxicillin 22,जीवाणु संक्रमण के इलाज में उपयोगी
Ibuprofen 22,सूजन और दर्द में राहत के लिए
Ciprofloxacin 22,संक्रमण के इलाज में उपयोगी
Metronidazole 22,दस्त और संक्रमण में उपयोगी
Azithromycin 22,गले और छाती के संक्रमण के लिए
Levocetirizine 22,एलर्जी और छींक में राहत के लिए
Cetirizine 22,एलर्जी और खुजली में उपयोगी
Pantoprazole 22,एसिडिटी और पेट दर्द में उपयोगी
Ranitidine 22,पेट की गैस और जलन में राहत
Omeprazole 22,अम्लता में राहत के लिए
Dolo 22,बुखार और दर्द में उपयोगी
Calpol 22,बच्चों के बुखार और दर्द के लिए
ORS 22,डिहाइड्रेशन में पानी की कमी को पूरा करता है
Zinc Tablet 22,दस्त में उपयोगी और रोग प्रतिरोधक शक्ति बढ़ाता है
Iron Folic Acid 22,रक्ताल्पता (एनीमिया) में उपयोगी
Albendazole 22,पेट के कीड़ों के इलाज के लिए
Chlorpheniramine 22,"सर्दी, खांसी और एलर्जी के लिए"
Vitamin D 22,हड्डियों की मजबूती के लिए
Calcium 22,हड्डियों और दाँतों की मजबूती के लिए
Multivitamin 22,शारीरिक कमजोरी और थकान में उपयोगी
Salbutamol 22,दमा और सांस की तकलीफ में राहत
Betadine 22,घावों को साफ़ करने के लिए
Domperidone 22,उल्टी और मतली में राहत के लिए
Diclofenac 22,दर्द और सूजन में उपयोगी
Paracetamol 23,बुखार और हल्के दर्द में उपयोगी
Amoxicillin 23,जीवाणु संक्रमण के इलाज में उपयोगी
Ibuprofen 23,सूजन और दर्द में राहत के लिए
Ciprofloxacin 23,संक्रमण के इलाज में उपयोगी
Metronidazole 23,दस्त और संक्रमण में उपयोगी
Azithromycin 23,गले और छाती के संक्रमण के लिए
Levocetirizine 23,एलर्जी और छींक में राहत के लिए
Cetirizine 23,एलर्जी और खुजली में उपयोगी
Pantoprazole 23,एसिडिटी और पेट दर्द में उपयोगी
Ranitidine 23,पेट की गैस और जलन में राहत
Omeprazole 23,अम्लता में राहत के लिए
Dolo 23,बुखार और दर्द में उपयोगी
Calpol 23,बच्चों के बुखार और दर्द के लिए
ORS 23,डिहाइड्रेशन में पानी की कमी को पूरा करता है
Zinc Tablet 23,दस्त में उपयोगी और रोग प्रतिरोधक शक्ति बढ़ाता है
Iron Folic Acid 23,रक्ताल्पता (एनीमिया) में उपयोगी
Albendazole 23,पेट के कीड़ों के इलाज के लिए
Chlorpheniramine 23,"सर्दी, खांसी और एलर्जी के लिए"
Vitamin D 23,हड्डियों की मजबूती के लिए
Calcium 23,हड्डियों और दाँतों की मजबूती के लिए
Multivitamin 23,शारीरिक कमजोरी और थकान में उपयोगी
Salbutamol 23,दमा और सांस की तकलीफ में राहत
Betadine 23,घावों को साफ़ करने के लिए
Domperidone 23,उल्टी और मतली में राहत के लिए
Diclofenac 23,दर्द और सूजन में उपयोगी
Paracetamol 24,बुखार और हल्के दर्द में उपयोगी
Amoxicillin 24,जीवाणु संक्रमण के इलाज में उपयोगी
Ibuprofen 24,सूजन और दर्द में राहत के लिए
Ciprofloxacin 24,संक्रमण के इलाज में उपयोगी
Metronidazole 24,दस्त और संक्रमण में उपयोगी
Azithromycin 24,गले और छाती के संक्रमण के लिए
Levocetirizine 24,एलर्जी और छींक में राहत के लिए
Cetirizine 24,एलर्जी और खुजली में उपयोगी
Pantoprazole 24,एसिडिटी और पेट दर्द में उपयोगी
Ranitidine 24,पेट की गैस और जलन में राहत
Omeprazole 24,अम्लता में राहत के लिए
Dolo 24,बुखार और दर्द में उपयोगी
Calpol 24,बच्चों के बुखार और दर्द के लिए
ORS 24,डिहाइड्रेशन में पानी की कमी को पूरा करता है
Zinc Tablet 24,दस्त में उपयोगी और रोग प्रतिरोधक शक्ति बढ़ाता है
Iron Folic Acid 24,रक्ताल्पता (एनीमिया) में उपयोगी
Albendazole 24,पेट के कीड़ों के इलाज के लिए
Chlorpheniramine 24,"सर्दी, खांसी और एलर्जी के लिए"
Vitamin D 24,हड्डियों की मजबूती के लिए
Calcium 24,हड्डियों और दाँतों की मजबूती के लिए
Multivitamin 24,शारीरिक कमजोरी और थकान में उपयोगी
Salbutamol 24,दमा और सांस की तकलीफ में राहत
Betadine 24,घावों को साफ़ करने के लिए
Domperidone 24,उल्टी और मतली में राहत के लिए
Diclofenac 24,दर्द और सूजन में उपयोगी
Paracetamol 25,बुखार और हल्के दर्द में उपयोगी
Amoxicillin 25,जीवाणु संक्रमण के इलाज में उपयोगी
Ibuprofen 25,सूजन और दर्द में राहत के लिए
Ciprofloxacin 25,संक्रमण के इलाज में उपयोगी
Metronidazole 25,दस्त और संक्रमण में उपयोगी
Azithromycin 25,गले और छाती के संक्रमण के लिए
Levocetirizine 25,एलर्जी और छींक में राहत के लिए
Cetirizine 25,एलर्जी और खुजली में उपयोगी
Pantoprazole 25,एसिडिटी और पेट दर्द में उपयोगी
Ranitidine 25,पेट की गैस और जलन में राहत
Omeprazole 25,अम्लता में राहत के लिए
Dolo 25,बुखार और दर्द में उपयोगी
Calpol 25,बच्चों के बुखार और दर्द के लिए
ORS 25,डिहाइड्रेशन में पानी की कमी को पूरा करता है
Zinc Tablet 25,दस्त में उपयोगी और रोग प्रतिरोधक शक्ति बढ़ाता है
Iron Folic Acid 25,रक्ताल्पता (एनीमिया) में उपयोगी
Albendazole 25,पेट के कीड़ों के इलाज के लिए
Chlorpheniramine 25,"सर्दी, खांसी और एलर्जी के लिए"
Vitamin D 25,हड्डियों की मजबूती के लिए
Calcium 25,हड्डियों और दाँतों की मजबूती के लिए
Multivitamin 25,शारीरिक कमजोरी और थकान में उपयोगी
Salbutamol 25,दमा और सांस की तकलीफ में राहत
Betadine 25,घावों को साफ़ करने के लिए
Domperidone 25,उल्टी और मतली में राहत के लिए
Diclofenac 25,दर्द और सूजन में उपयोगी
Paracetamol 26,बुखार और हल्के दर्द में उपयोगी
Amoxicillin 26,जीवाणु संक्रमण के इलाज में उपयोगी
Ibuprofen 26,सूजन और दर्द में राहत के लिए
Ciprofloxacin 26,संक्रमण के इलाज में उपयोगी
Metronidazole 26,दस्त और संक्रमण में उपयोगी
Azithromycin 26,गले और छाती के संक्रमण के लिए
Levocetirizine 26,एलर्जी और छींक में राहत के लिए
Cetirizine 26,एलर्जी और खुजली में उपयोगी
Pantoprazole 26,एसिडिटी और पेट दर्द में उपयोगी
Ranitidine 26,पेट की गैस और जलन में राहत
Omeprazole 26,अम्लता में राहत के लिए
Dolo 26,बुखार और दर्द में उपयोगी
Calpol 26,बच्चों के बुखार और दर्द के लिए
ORS 26,डिहाइड्रेशन में पानी की कमी को पूरा करता है
Zinc Tablet 26,दस्त में उपयोगी और रोग प्रतिरोधक शक्ति बढ़ाता है
Iron Folic Acid 26,रक्ताल्पता (एनीमिया) में उपयोगी
Albendazole 26,पेट के कीड़ों के इलाज के लिए
Chlorpheniramine 26,"सर्दी, खांसी और एलर्जी के लिए"
Vitamin D 26,हड्डियों की मजबूती के लिए
Calcium 26,हड्डियों और दाँतों की मजबूती के लिए
Multivitamin 26,शारीरिक कमजोरी और थकान में उपयोगी
Salbutamol 26,दमा और सांस की तकलीफ में राहत
Betadine 26,घावों को साफ़ करने के लिए
Domperidone 26,उल्टी और मतली में राहत के लिए
Diclofenac 26,दर्द और सूजन में उपयोगी
Paracetamol 27,बुखार और हल्के दर्द में उपयोगी
Amoxicillin 27,जीवाणु संक्रमण के इलाज में उपयोगी
Ibuprofen 27,सूजन और दर्द में राहत के लिए
Ciprofloxacin 27,संक्रमण के इलाज में उपयोगी
Metronidazole 27,दस्त और संक्रमण में उपयोगी
Azithromycin 27,गले और छाती के संक्रमण के लिए
Levocetirizine 27,एलर्जी और छींक में राहत के लिए
Cetirizine 27,एलर्जी और खुजली में उपयोगी
Pantoprazole 27,एसिडिटी और पेट दर्द में उपयोगी
Ranitidine 27,पेट की गैस और जलन में राहत
Omeprazole 27,अम्लता में राहत के लिए
Dolo 27,बुखार और दर्द में उपयोगी
Calpol 27,बच्चों के बुखार और दर्द के लिए
ORS 27,डिहाइड्रेशन में पानी की कमी को पूरा करता है
Zinc Tablet 27,दस्त में उपयोगी और रोग प्रतिरोधक शक्ति बढ़ाता है
Iron Folic Acid 27,रक्ताल्पता (एनीमिया) में उपयोगी
Albendazole 27,पेट के कीड़ों के इलाज के लिए
Chlorpheniramine 27,"सर्दी, खांसी और एलर्जी के लिए"
Vitamin D 27,हड्डियों की मजबूती के लिए
Calcium 27,हड्डियों और दाँतों की मजबूती के लिए
Multivitamin 27,शारीरिक कमजोरी और थकान में उपयोगी
Salbutamol 27,दमा और सांस की तकलीफ में राहत
Betadine 27,घावों को साफ़ करने के लिए
Domperidone 27,उल्टी और मतली में राहत के लिए
Diclofenac 27,दर्द और सूजन में उपयोगी
Paracetamol 28,बुखार और हल्के दर्द में उपयोगी
Amoxicillin 28,जीवाणु संक्रमण के इलाज में उपयोगी
Ibuprofen 28,सूजन और दर्द में राहत के लिए
Ciprofloxacin 28,संक्रमण के इलाज में उपयोगी
Metronidazole 28,दस्त और संक्रमण में उपयोगी
Azithromycin 28,गले और छाती के संक्रमण के लिए
Levocetirizine 28,एलर्जी और छींक में राहत के लिए
Cetirizine 28,एलर्जी और खुजली में उपयोगी
Pantoprazole 28,एसिडिटी और पेट दर्द में उपयोगी
Ranitidine 28,पेट की गैस और जलन में राहत
Omeprazole 28,अम्लता में राहत के लिए
Dolo 28,बुखार और दर्द में उपयोगी
Calpol 28,बच्चों के बुखार और दर्द के लिए
ORS 28,डिहाइड्रेशन में पानी की कमी को पूरा करता है
Zinc Tablet 28,दस्त में उपयोगी और रोग प्रतिरोधक शक्ति बढ़ाता है
Iron Folic Acid 28,रक्ताल्पता (एनीमिया) में उपयोगी
Albendazole 28,पेट के कीड़ों के इलाज के लिए
Chlorpheniramine 28,"सर्दी, खांसी और एलर्जी के लिए"
Vitamin D 28,हड्डियों की मजबूती के लिए
Calcium 28,हड्डियों और दाँतों की मजबूती के लिए
Multivitamin 28,शारीरिक कमजोरी और थकान में उपयोगी
Salbutamol 28,दमा और सांस की तकलीफ में राहत
Betadine 28,घावों को साफ़ करने के लिए
Domperidone 28,उल्टी और मतली में राहत के लिए
Diclofenac 28,दर्द और सूजन में उपयोगी
Paracetamol 29,बुखार और हल्के दर्द में उपयोगी
Amoxicillin 29,जीवाणु संक्रमण के इलाज में उपयोगी
Ibuprofen 29,सूजन और दर्द में राहत के लिए
Ciprofloxacin 29,संक्रमण के इलाज में उपयोगी
Metronidazole 29,दस्त और संक्रमण में उपयोगी
Azithromycin 29,गले और छाती के संक्रमण के लिए
Levocetirizine 29,एलर्जी और छींक में राहत के लिए
Cetirizine 29,एलर्जी और खुजली में उपयोगी
Pantoprazole 29,एसिडिटी और पेट दर्द में उपयोगी
Ranitidine 29,पेट की गैस और जलन में राहत
Omeprazole 29,अम्लता में राहत के लिए
Dolo 29,बुखार और दर्द में उपयोगी
Calpol 29,बच्चों के बुखार और दर्द के लिए
ORS 29,डिहाइड्रेशन में पानी की कमी को पूरा करता है
Zinc Tablet 29,दस्त में उपयोगी और रोग प्रतिरोधक शक्ति बढ़ाता है
Iron Folic Acid 29,रक्ताल्पता (एनीमिया) में उपयोगी
Albendazole 29,पेट के कीड़ों के इलाज के लिए
Chlorpheniramine 29,"सर्दी, खांसी और एलर्जी के लिए"
Vitamin D 29,हड्डियों की मजबूती के लिए
Calcium 29,हड्डियों और दाँतों की मजबूती के लिए
Multivitamin 29,शारीरिक कमजोरी और थकान में उपयोगी
Salbutamol 29,दमा और सांस की तकलीफ में राहत
Betadine 29,घावों को साफ़ करने के लिए
Domperidone 29,उल्टी और मतली में राहत के लिए
Diclofenac 29,दर्द और सूजन में उपयोगी
Paracetamol 30,बुखार और हल्के दर्द में उपयोगी
Amoxicillin 30,जीवाणु संक्रमण के इलाज में उपयोगी
Ibuprofen 30,सूजन और दर्द में राहत के लिए
Ciprofloxacin 30,संक्रमण के इलाज में उपयोगी
Metronidazole 30,दस्त और संक्रमण में उपयोगी
Azithromycin 30,गले और छाती के संक्रमण के लिए
Levocetirizine 30,एलर्जी और छींक में राहत के लिए
Cetirizine 30,एलर्जी और खुजली में उपयोगी
Pantoprazole 30,एसिडिटी और पेट दर्द में उपयोगी
Ranitidine 30,पेट की गैस और जलन में राहत
Omeprazole 30,अम्लता में राहत के लिए
Dolo 30,बुखार और दर्द में उपयोगी
Calpol 30,बच्चों के बुखार और दर्द के लिए
ORS 30,डिहाइड्रेशन में पानी की कमी को पूरा करता है
Zinc Tablet 30,दस्त में उपयोगी और रोग प्रतिरोधक शक्ति बढ़ाता है
Iron Folic Acid 30,रक्ताल्पता (एनीमिया) में उपयोगी
Albendazole 30,पेट के कीड़ों के इलाज के लिए
Chlorpheniramine 30,"सर्दी, खांसी और एलर्जी के लिए"
Vitamin D 30,हड्डियों की मजबूती के लिए
Calcium 30,हड्डियों और दाँतों की मजबूती के लिए
Multivitamin 30,शारीरिक कमजोरी और थकान में उपयोगी
Salbutamol 30,दमा और सांस की तकलीफ में राहत
Betadine 30,घावों को साफ़ करने के लिए
Domperidone 30,उल्टी और मतली में राहत के लिए
Diclofenac 30,दर्द और सूजन में उपयोगी
Paracetamol 31,बुखार और हल्के दर्द में उपयोगी
Amoxicillin 31,जीवाणु संक्रमण के इलाज में उपयोगी
Ibuprofen 31,सूजन और दर्द में राहत के लिए
Ciprofloxacin 31,संक्रमण के इलाज में उपयोगी
Metronidazole 31,दस्त और संक्रमण में उपयोगी
Azithromycin 31,गले और छाती के संक्रमण के लिए
Levocetirizine 31,एलर्जी और छींक में राहत के लिए
Cetirizine 31,एलर्जी और खुजली में उपयोगी
Pantoprazole 31,एसिडिटी और पेट दर्द में उपयोगी
Ranitidine 31,पेट की गैस और जलन में राहत
Omeprazole 31,अम्लता में राहत के लिए
Dolo 31,बुखार और दर्द में उपयोगी
Calpol 31,बच्चों के बुखार और दर्द के लिए
ORS 31,डिहाइड्रेशन में पानी की कमी को पूरा करता है
Zinc Tablet 31,दस्त में उपयोगी और रोग प्रतिरोधक शक्ति बढ़ाता है
Iron Folic Acid 31,रक्ताल्पता (एनीमिया) में उपयोगी
Albendazole 31,पेट के कीड़ों के इलाज के लिए
Chlorpheniramine 31,"सर्दी, खांसी और एलर्जी के लिए"
Vitamin D 31,हड्डियों की मजबूती के लिए
Calcium 31,हड्डियों और दाँतों की मजबूती के लिए
Multivitamin 31,शारीरिक कमजोरी और थकान में उपयोगी
Salbutamol 31,दमा और सांस की तकलीफ में राहत
Betadine 31,घावों को साफ़ करने के लिए
Domperidone 31,उल्टी और मतली में राहत के लिए
Diclofenac 31,दर्द और सूजन में उपयोगी
Paracetamol 32,बुखार और हल्के दर्द में उपयोगी
Amoxicillin 32,जीवाणु संक्रमण के इलाज में उपयोगी
Ibuprofen 32,सूजन और दर्द में राहत के लिए
Ciprofloxacin 32,संक्रमण के इलाज में उपयोगी
Metronidazole 32,दस्त और संक्रमण में उपयोगी
Azithromycin 32,गले और छाती के संक्रमण के लिए
Levocetirizine 32,एलर्जी और छींक में राहत के लिए
Cetirizine 32,एलर्जी और खुजली में उपयोगी
Pantoprazole 32,एसिडिटी और पेट दर्द में उपयोगी
Ranitidine 32,पेट की गैस और जलन में राहत
Omeprazole 32,अम्लता में राहत के लिए
Dolo 32,बुखार और दर्द में उपयोगी
Calpol 32,बच्चों के बुखार और दर्द के लिए
ORS 32,डिहाइड्रेशन में पानी की कमी को पूरा करता है
Zinc Tablet 32,दस्त में उपयोगी और रोग प्रतिरोधक शक्ति बढ़ाता है
Iron Folic Acid 32,रक्ताल्पता (एनीमिया) में उपयोगी
Albendazole 32,पेट के कीड़ों के इलाज के लिए
Chlorpheniramine 32,"सर्दी, खांसी और एलर्जी के लिए"
Vitamin D 32,हड्डियों की मजबूती के लिए
Calcium 32,हड्डियों और दाँतों की मजबूती के लिए
Multivitamin 32,शारीरिक कमजोरी और थकान में उपयोगी
Salbutamol 32,दमा और सांस की तकलीफ में राहत
Betadine 32,घावों को साफ़ करने के लिए
Domperidone 32,उल्टी और मतली में राहत के लिए
Diclofenac 32,दर्द और सूजन में उपयोगी
Paracetamol 33,बुखार और हल्के दर्द में उपयोगी
Amoxicillin 33,जीवाणु संक्रमण के इलाज में उपयोगी
Ibuprofen 33,सूजन और दर्द में राहत के लिए
Ciprofloxacin 33,संक्रमण के इलाज में उपयोगी
Metronidazole 33,दस्त और संक्रमण में उपयोगी
Azithromycin 33,गले और छाती के संक्रमण के लिए
Levocetirizine 33,एलर्जी और छींक में राहत के लिए
Cetirizine 33,एलर्जी और खुजली में उपयोगी
Pantoprazole 33,एसिडिटी और पेट दर्द में उपयोगी
Ranitidine 33,पेट की गैस और जलन में राहत
Omeprazole 33,अम्लता में राहत के लिए
Dolo 33,बुखार और दर्द में उपयोगी
Calpol 33,बच्चों के बुखार और दर्द के लिए
ORS 33,डिहाइड्रेशन में पानी की कमी को पूरा करता है
Zinc Tablet 33,दस्त में उपयोगी और रोग प्रतिरोधक शक्ति बढ़ाता है
Iron Folic Acid 33,रक्ताल्पता (एनीमिया) में उपयोगी
Albendazole 33,पेट के कीड़ों के इलाज के लिए
Chlorpheniramine 33,"सर्दी, खांसी और एलर्जी के लिए"
Vitamin D 33,हड्डियों की मजबूती के लिए
Calcium 33,हड्डियों और दाँतों की मजबूती के लिए
Multivitamin 33,शारीरिक कमजोरी और थकान में उपयोगी
Salbutamol 33,दमा और सांस की तकलीफ में राहत
Betadine 33,घावों को साफ़ करने के लिए
Domperidone 33,उल्टी और मतली में राहत के लिए
Diclofenac 33,दर्द और सूजन में उपयोगी
Paracetamol 34,बुखार और हल्के दर्द में उपयोगी
Amoxicillin 34,जीवाणु संक्रमण के इलाज में उपयोगी
Ibuprofen 34,सूजन और दर्द में राहत के लिए
Ciprofloxacin 34,संक्रमण के इलाज में उपयोगी
Metronidazole 34,दस्त और संक्रमण में उपयोगी
Azithromycin 34,गले और छाती के संक्रमण के लिए
Levocetirizine 34,एलर्जी और छींक में राहत के लिए
Cetirizine 34,एलर्जी और खुजली में उपयोगी
Pantoprazole 34,एसिडिटी और पेट दर्द में उपयोगी
Ranitidine 34,पेट की गैस और जलन में राहत
Omeprazole 34,अम्लता में राहत के लिए
Dolo 34,बुखार और दर्द में उपयोगी
Calpol 34,बच्चों के बुखार और दर्द के लिए
ORS 34,डिहाइड्रेशन में पानी की कमी को पूरा करता है
Zinc Tablet 34,दस्त में उपयोगी और रोग प्रतिरोधक शक्ति बढ़ाता है
Iron Folic Acid 34,रक्ताल्पता (एनीमिया) में उपयोगी
Albendazole 34,पेट के कीड़ों के इलाज के लिए
Chlorpheniramine 34,"सर्दी, खांसी और एलर्जी के लिए"
Vitamin D 34,हड्डियों की मजबूती के लिए
Calcium 34,हड्डियों और दाँतों की मजबूती के लिए
Multivitamin 34,शारीरिक कमजोरी और थकान में उपयोगी
Salbutamol 34,दमा और सांस की तकलीफ में राहत
Betadine 34,घावों को साफ़ करने के लिए
Domperidone 34,उल्टी और मतली में राहत के लिए
Diclofenac 34,दर्द और सूजन में उपयोगी
Paracetamol 35,बुखार और हल्के दर्द में उपयोगी
Amoxicillin 35,जीवाणु संक्रमण के इलाज में उपयोगी
Ibuprofen 35,सूजन और दर्द में राहत के लिए
Ciprofloxacin 35,संक्रमण के इलाज में उपयोगी
Metronidazole 35,दस्त और संक्रमण में उपयोगी
Azithromycin 35,गले और छाती के संक्रमण के लिए
Levocetirizine 35,एलर्जी और छींक में राहत के लिए
Cetirizine 35,एलर्जी और खुजली में उपयोगी
Pantoprazole 35,एसिडिटी और पेट दर्द में उपयोगी
Ranitidine 35,पेट की गैस और जलन में राहत
Omeprazole 35,अम्लता में राहत के लिए
Dolo 35,बुखार और दर्द में उपयोगी
Calpol 35,बच्चों के बुखार और दर्द के लिए
ORS 35,डिहाइड्रेशन में पानी की कमी को पूरा करता है
Zinc Tablet 35,दस्त में उपयोगी और रोग प्रतिरोधक शक्ति बढ़ाता है
Iron Folic Acid 35,रक्ताल्पता (एनीमिया) में उपयोगी
Albendazole 35,पेट के कीड़ों के इलाज के लिए
Chlorpheniramine 35,"सर्दी, खांसी और एलर्जी के लिए"
Vitamin D 35,हड्डियों की मजबूती के लिए
Calcium 35,हड्डियों और दाँतों की मजबूती के लिए
Multivitamin 35,शारीरिक कमजोरी और थकान में उपयोगी
Salbutamol 35,दमा और सांस की तकलीफ में राहत
Betadine 35,घावों को साफ़ करने के लिए
Domperidone 35,उल्टी और मतली में राहत के लिए
Diclofenac 35,दर्द और सूजन में उपयोगी
Paracetamol 36,बुखार और हल्के दर्द में उपयोगी
Amoxicillin 36,जीवाणु संक्रमण के इलाज में उपयोगी
Ibuprofen 36,सूजन और दर्द में राहत के लिए
Ciprofloxacin 36,संक्रमण के इलाज में उपयोगी
Metronidazole 36,दस्त और संक्रमण में उपयोगी
Azithromycin 36,गले और छाती के संक्रमण के लिए
Levocetirizine 36,एलर्जी और छींक में राहत के लिए
Cetirizine 36,एलर्जी और खुजली में उपयोगी
Pantoprazole 36,एसिडिटी और पेट दर्द में उपयोगी
Ranitidine 36,पेट की गैस और जलन में राहत
Omeprazole 36,अम्लता में राहत के लिए
Dolo 36,बुखार और दर्द में उपयोगी
Calpol 36,बच्चों के बुखार और दर्द के लिए
ORS 36,डिहाइड्रेशन में पानी की कमी को पूरा करता है
Zinc Tablet 36,दस्त में उपयोगी और रोग प्रतिरोधक शक्ति बढ़ाता है
Iron Folic Acid 36,रक्ताल्पता (एनीमिया) में उपयोगी
Albendazole 36,पेट के कीड़ों के इलाज के लिए
Chlorpheniramine 36,"सर्दी, खांसी और एलर्जी के लिए"
Vitamin D 36,हड्डियों की मजबूती के लिए
Calcium 36,हड्डियों और दाँतों की मजबूती के लिए
Multivitamin 36,शारीरिक कमजोरी और थकान में उपयोगी
Salbutamol 36,दमा और सांस की तकलीफ में राहत
Betadine 36,घावों को साफ़ करने के लिए
Domperidone 36,उल्टी और मतली में राहत के लिए
Diclofenac 36,दर्द और सूजन में उपयोगी
Paracetamol 37,बुखार और हल्के दर्द में उपयोगी
Amoxicillin 37,जीवाणु संक्रमण के इलाज में उपयोगी
Ibuprofen 37,सूजन और दर्द में राहत के लिए
Ciprofloxacin 37,संक्रमण के इलाज में उपयोगी
Metronidazole 37,दस्त और संक्रमण में उपयोगी
Azithromycin 37,गले और छाती के संक्रमण के लिए
Levocetirizine 37,एलर्जी और छींक में राहत के लिए
Cetirizine 37,एलर्जी और खुजली में उपयोगी
Pantoprazole 37,एसिडिटी और पेट दर्द में उपयोगी
Ranitidine 37,पेट की गैस और जलन में राहत
Omeprazole 37,अम्लता में राहत के लिए
Dolo 37,बुखार और दर्द में उपयोगी
Calpol 37,बच्चों के बुखार और दर्द के लिए
ORS 37,डिहाइड्रेशन में पानी की कमी को पूरा करता है
Zinc Tablet 37,दस्त में उपयोगी और रोग प्रतिरोधक शक्ति बढ़ाता है
Iron Folic Acid 37,रक्ताल्पता (एनीमिया) में उपयोगी
Albendazole 37,पेट के कीड़ों के इलाज के लिए
Chlorpheniramine 37,"सर्दी, खांसी और एलर्जी के लिए"
Vitamin D 37,हड्डियों की मजबूती के लिए
Calcium 37,हड्डियों और दाँतों की मजबूती के लिए
Multivitamin 37,शारीरिक कमजोरी और थकान में उपयोगी
Salbutamol 37,दमा और सांस की तकलीफ में राहत
Betadine 37,घावों को साफ़ करने के लिए
Domperidone 37,उल्टी और मतली में राहत के लिए
Diclofenac 37,दर्द और सूजन में उपयोगी
Paracetamol 38,बुखार और हल्के दर्द में उपयोगी
Amoxicillin 38,जीवाणु संक्रमण के इलाज में उपयोगी
Ibuprofen 38,सूजन और दर्द में राहत के लिए
Ciprofloxacin 38,संक्रमण के इलाज में उपयोगी
Metronidazole 38,दस्त और संक्रमण में उपयोगी
Azithromycin 38,गले और छाती के संक्रमण के लिए
Levocetirizine 38,एलर्जी और छींक में राहत के लिए
Cetirizine 38,एलर्जी और खुजली में उपयोगी
Pantoprazole 38,एसिडिटी और पेट दर्द में उपयोगी
Ranitidine 38,पेट की गैस और जलन में राहत
Omeprazole 38,अम्लता में राहत के लिए
Dolo 38,बुखार और दर्द में उपयोगी
Calpol 38,बच्चों के बुखार और दर्द के लिए
ORS 38,डिहाइड्रेशन में पानी की कमी को पूरा करता है
Zinc Tablet 38,दस्त में उपयोगी और रोग प्रतिरोधक शक्ति बढ़ाता है
Iron Folic Acid 38,रक्ताल्पता (एनीमिया) में उपयोगी
Albendazole 38,पेट के कीड़ों के इलाज के लिए
Chlorpheniramine 38,"सर्दी, खांसी और एलर्जी के लिए"
Vitamin D 38,हड्डियों की मजबूती के लिए
Calcium 38,हड्डियों और दाँतों की मजबूती के लिए
Multivitamin 38,शारीरिक कमजोरी और थकान में उपयोगी
Salbutamol 38,दमा और सांस की तकलीफ में राहत
Betadine 38,घावों को साफ़ करने के लिए
Domperidone 38,उल्टी और मतली में राहत के लिए
Diclofenac 38,दर्द और सूजन में उपयोगी
Paracetamol 39,बुखार और हल्के दर्द में उपयोगी
Amoxicillin 39,जीवाणु संक्रमण के इलाज में उपयोगी
Ibuprofen 39,सूजन और दर्द में राहत के लिए
Ciprofloxacin 39,संक्रमण के इलाज में उपयोगी
Metronidazole 39,दस्त और संक्रमण में उपयोगी
Azithromycin 39,गले और छाती के संक्रमण के लिए
Levocetirizine 39,एलर्जी और छींक में राहत के लिए
Cetirizine 39,एलर्जी और खुजली में उपयोगी
Pantoprazole 39,एसिडिटी और पेट दर्द में उपयोगी
Ranitidine 39,पेट की गैस और जलन में राहत
Omeprazole 39,अम्लता में राहत के लिए
Dolo 39,बुखार और दर्द में उपयोगी
Calpol 39,बच्चों के बुखार और दर्द के लिए
ORS 39,डिहाइड्रेशन में पानी की कमी को पूरा करता है
